
2024/12/10 (13:13:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/10 (13:13:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (12:51:07) | ===> btop++ v.1.4.0
2024/12/11 (12:51:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (12:51:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (13:30:51) | ===> btop++ v.1.4.0
2024/12/11 (13:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (13:30:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (13:44:37) | ===> btop++ v.1.4.0
2024/12/11 (13:44:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (13:44:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (14:34:13) | ===> btop++ v.1.4.0
2024/12/11 (14:34:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (14:34:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (14:41:57) | ===> btop++ v.1.4.0
2024/12/11 (14:41:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (14:41:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (19:33:29) | ===> btop++ v.1.4.0
2024/12/11 (19:33:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (19:33:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (14:57:21) | ===> btop++ v.1.4.0
2024/12/12 (14:57:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (14:57:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (15:49:30) | ===> btop++ v.1.4.0
2024/12/12 (15:49:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (15:49:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (01:58:19) | ===> btop++ v.1.4.0
2024/12/15 (01:58:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (01:58:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:09:04) | ===> btop++ v.1.4.0
2024/12/15 (20:09:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (20:09:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:09:35) | ===> btop++ v.1.4.0
2024/12/15 (20:09:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (20:09:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:11:15) | ===> btop++ v.1.4.0
2024/12/15 (20:11:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (20:11:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:12:48) | ===> btop++ v.1.4.0
2024/12/15 (20:12:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (20:12:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:13:41) | ===> btop++ v.1.4.0
2024/12/15 (20:13:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
